商铺名称,营业时间,地址,月销售量,人均,活动信息
百聚坊餐厅,09:10-23:59,云南省保山市昌宁县田园镇达丙社区宝达路安置区39号(鑫发钢材下20米）,1000,['22'],"['满20减6;满40减12', '折扣商品8.33折起']"
堕落小龙虾(湿地公园店),16:00-23:59,云南省保山市昌宁县田园镇环城北路(云舒居安置区47号),200,['42'],"['满60减3;满90减6;满120减9;满150减12;满180减15', '折扣商品0.02折起', '领6元券', '实际支付1元返10元商家代金券', '本店支持开发票，开票金额0元起']"
瑞丽小吃,10:00-21:00,云南的省保山市昌宁县田园镇滨河路西侧、文昌路南侧（滨河盛景7-4号）,400,['28'],"['满40减12;满80减24', '折扣商品8.5折起']"
波澜阁,08:00-23:59,宁和苑3号,1000,['22'],[]
姬大妈（昌宁店）,10:00-23:59,昌宁县田园镇环城北路与兴宁街交汇处（富德广场四幢1068号）,1000,['20'],"['满20减6;满40减12', '折扣商品8.8折起']"
我家酸菜鱼,09:00-23:59,田园镇兴宁街北段西侧红房子旁,100,[],['折扣商品8折起']
小莲饭店,08:00-23:59,右甸南路与清真街交叉口东50米,300,['29'],"['满20减1;满30减3;满60减8', '折扣商品9折起']"
滇悦美小吃（昌宁店）,08:00-21:00,云南省保山市昌宁县田园镇紫檀水岸,27,[],['满20减10;满40减20']
香辣虾.品味干锅,08:30-23:30,云南省保山市昌宁县田园镇兴宁街60号,100,[],['满20减5;满40减10']
董记万州烤鱼董记烤鱼昌宁店,16:00-23:59,山水田园,36,[],[]
老字号保山豆粉,11:00-20:00,田园清真街71号,400,['15'],[]
老字号大排砂锅米线,07:30-20:00,田园镇宝丰路,800,['20'],['满20减2;满40减4']
腾冲味道（盖饭炒饭）,07:00-22:00,云南省保山市昌宁县田园镇文昌街北侧32号,1000,['15'],['满30减3;满40减4']
欣然小吃,07:00-22:00,昌宁县田园镇文昌街下段,1000,['17'],['满20减2;满30减3;满40减5']
再-就-业-食馆,09:00-22:00,田园镇右甸东路,400,[],['满20减6;满40减12']
南云上品瓦香鸡米饭（三中店）,07:00-23:59,田园镇宝丰路北段西侧,1000,['18'],"['满20减10;满40减18', '折扣商品7.99折起']"
暴走小吃,10:00-23:59,田园镇关庙社区居民委员会清真街,300,['18'],['满20减10;满40减20']
一品坊鸭脖(文昌街店）,09:02-23:58,云南省保山市昌宁县田园镇文昌街北侧,300,['32'],[]
果木碳烤鸭（小铺子坡店）,08:30-19:30,云南省保山市昌宁县田园镇小铺子坡坡脚（右甸东路）,300,['33'],[]
乐源良品（原乐源杯）,08:30-22:00,云南省保山市昌宁县田园镇滨河路以西、文昌路以南（滨河盛景1栋2号）,700,['18'],['满20减1;满50减3']
虹轩家常菜,09:00-21:00,福惠路茶悦酒店旁,31,[],['满60减15;满100减20']
腾越小吃店,16:30-23:59,田园镇文昌街,1000,['14'],['满25减1;满45减2']
绝味,18:00-23:55,田园镇新城路西侧,200,['37'],[]
伊香阁回族食馆,08:30-21:00,宝达路1号,200,[],"['满20减5;满40减10', '折扣商品9折起']"
品和美食城（臭豆腐小锅米线）,07:30-20:00,滨河路北段西侧,900,['15'],[]
小锅米线,07:00-20:00,云南省保山市昌宁县田园镇福惠路以西(隆祥花园第16幢第1单元第1层17号),800,['12'],['满30减2']
隔锅香（炒饭盖饭）,10:00-20:30,清真街与滨河西路交叉口西100米,400,['25'],['满40减2;满60减3;满100减5']
港派汉堡,09:00-23:59,田园镇富德广场,700,['14'],"['满20减10;满40减20', '折扣商品9折起']"
腾乡傣味撒撇（清真街店）,10:00-21:00,田园镇滨河路南段西侧21号,300,['23'],['折扣商品9.8折起']
老字号砂锅饭(炒饭）,09:20-21:00,昌宁县田园镇右甸东路,600,[],['折扣商品9.8折起']
湘邵铁板鱿鱼,07:00-23:59,田园镇龙井社区居民委员会右甸北路（仁德医院一楼）,200,['35'],['折扣商品9.5折起']
正宗北京果木炭烤鸭（达丙街四十米大街头店）,07:00-23:00,田园镇达丙社区居民委员会达丙街,100,[],[]
六子東北饺子馆,09:00-21:00,云南省保山市昌宁县田园镇文昌路南侧，福慧路西侧（雄达，明丰苑）,400,['18'],['满50减2;满100减5']
激情一元烧,19:30-23:59,宝丰社区居民委员会,200,[],[]
大嘴巴烤肉拌饭脆皮鸡饭,10:00-23:59,田园镇新城路东侧,300,['15'],"['满25减15', '折扣商品5折起']"
十点半烧烤,20:30-23:59,云南省保山市昌宁县田园镇武华路20号,100,['25'],"['满20减3;满30减4', '折扣商品9折起']"
弥勒卤鸡米线（昌宁店）,07:20-19:25,云南省保山市昌宁县田园镇文昌路北侧,500,[],"['满25减3;满40减5', '折扣商品9.43折起']"
阿中de厨房（滨河盛景店）,07:30-23:59,云南省保山市昌宁县田园镇滨河盛景7-7号,300,[],['满20减1;满30减2']
腾乡傣味白妹撒撇,10:00-22:00,田园镇清真街,70,[],['满30减6;满60减12']
埃山遵义虾子羊肉米线,07:10-20:20,云南省保山市昌宁县田园镇福慧路以西、环城北路以南、文昌街以北（隆祥花园2幢06号）,200,[],['满20减2;满40减4']
暴走芝士焗饭,08:00-23:59,田园镇关庙社区居民委员会武华路47号,600,[],"['满20减10;满40减20', '折扣商品9.57折起']"
安泰烧烤,15:00-23:59,宝丰路27附近,1000,['26'],['满50减5;满100减10']
初客牛排,09:00-21:30,云南省保山市昌宁县田园镇兴宁街与环城北路交叉口（富德城市广场2栋3楼）,17,[],[]
饭点点饭烤肉拌饭（昌宁店）,09:00-23:40,云南省保山市昌宁县田园镇新城路（十字路80号）,900,['22'],"['满20减10;满40减20', '折扣商品0.5折起']"
烤面筋七彩土豆,11:30-20:30,田园镇清真街,42,[],['满20减4;满40减8']
老北京烤鸭（南小区店）,08:30-20:30,云南省保山市昌宁县田园镇中心村,200,['42'],[]
有一家烤肉饭（昌宁店）,10:16-21:00,田园镇环城北路与兴宁街交汇处（富德广场4幢1070号）,500,['20'],"['满21减5;满45减10', '折扣商品8.45折起']"
羽贤中餐馆,10:30-20:00,保山市昌宁县田园镇文昌社区居民委员会隆祥花园16-21,0,[],['满20减10;满40减20']
杭州小笼包,07:30-22:00,右甸南路,300,['15'],['满10减1;满20减2;满30减3']
老字号大理宾川正宗海稍鱼,09:00-21:00,宝达路,44,[],[]
一品驴肉馆,07:00-22:00,保山市昌宁县田园镇达丙社区居民委员会宝达路北侧(达丙社区老年活动中心旁),73,[],[]
宏娟农家乐,07:00-23:59,田园镇龙泉社区柒树坡村民小组小凹子地（宏娟农家乐）,36,[],['折扣商品6.8折起']
刀削面手拉面（昌宁店）,07:00-19:15,右甸西路40附近,300,[],[]
甩粑粑,10:00-20:00,田园镇清真街42号,100,[],['折扣商品9折起']
御膳炖罐,10:00-23:59,田园镇达丙社区居民委员会达丙街30号,700,['13'],['满20减15;满40减30']
芝佳基,08:00-23:59,保山市昌宁县田园镇文昌社区居民委员会紫檀水岸8幢1单元1号,1000,['18'],"['满20减2;满40减4', '折扣商品0.91折起']"
HEY JUICE茶桔便,10:30-22:00,保山市昌宁县田园镇龙井社区居民委员会滨河盛景商业休闲步行街第E-9幢5号,300,['12'],"['满20减10;满40减20', '折扣商品8.89折起']"
烧鹅3号店（广东烧腊饭）,10:30-22:00,云南省保山市昌宁县田园镇环城西路西侧(南小区农贸市场),900,['18'],"['满20减6', '折扣商品9.8折起']"
好乐佳小吃,08:30-23:59,清真街与滨河西路交叉口西行150米路南,800,['17'],"['满25减15', '折扣商品8.4折起', '实际支付38元返2元商家代金券']"
李家大烧米线,08:00-23:59,保山市昌宁县田园镇右文社区村民委员会右文岔路口（李家大烧米线）,100,[],"['满21减1;满32减3', '折扣商品9.52折起', '领2元券', '实际支付40元返2元商家代金券']"
重庆风味,10:00-22:00,雄达盛世名苑小区3单元4-5号,100,['36'],['满30减1;满60减5;满100减10']
伊品斋牛肉食馆,10:30-18:00,文昌社区城坡张家沟,19,[],[]
大牙食堂,07:00-23:59,田园镇右甸东路南侧,400,[],[]
刁氏鸡脚,09:00-23:59,保山市昌宁县田园镇关庙社区居民委员会清真街26号,100,['27'],['满20减2;满40减4']
滕乡傣味撒撇（滨河店）,10:00-21:00,云南省保山市昌宁县田园镇滨河盛景7-8号,200,[],[]
山茅田鸡鲜活馆,09:00-21:00,宝达路45号,15,[],[]
文昌人家,08:00-21:00,田园镇文昌社区居民委员会宏达小区50号（红十字会医院旁）,300,['24'],"['满30减3;满60减5', '折扣商品9折起']"
鲁记牛羊肉米线馆,07:00-21:00,田园镇关庙社区居民委员会武华路南侧14号,500,['17'],['下单即赠香酥辣，咸菜，各一份']
五味草堂五谷渔粉（昌宁店）,09:00-20:00,保山市昌宁县田园镇关庙社区居民委员会清真街32号,70,[],[]
滇西一口豆,07:00-23:59,云南省保山市昌宁县田园镇阳光怡景小区后门,100,['16'],['满15减2;满20减4;满40减6']
佳轩牛肉馆,08:00-21:00,达丙街105号,500,[],"['满20减10;满40减20', '折扣商品8折起']"
小胖肠粉,07:00-23:59,龙井社区居民委员会右甸北路东侧,300,[],[]
亦乐饭庄,08:00-21:30,右甸南路与清真街交叉口东50米,69,[],[]
畅享烧烤店,10:00-23:59,田园镇宝达路北侧兴宁街东侧（宝丰小区）(商贸城前面),39,[],[]
满口香总汇,10:00-21:00,田园镇右甸街南侧,100,['35'],['满20减1;满30减2']
双福餐厅,15:30-19:40,田园镇新文小区,100,[],['满20减10;满40减15']
兴宁便利店,08:30-23:59,保山市昌宁县田园镇兴宁街（茶乡印象酒店旁）,77,[],['满20减3;满40减6']
黄成早晚点,07:30-23:00,保山市昌宁县田园镇文昌社区居民委员会环城北路南侧（思源实验学校对面）,0,[],['满20减10;满40减20']
牛牛火锅米线,07:00-23:59,滨河盛景3栋6-7号,300,['18'],['折扣商品8.25折起']
柳州螺蛳粉,08:30-23:57,田园镇文昌社区居民委员会文昌街39号,0,[],['折扣商品8折起']
保山范氏特色火烧肉（鸡肉米线）,09:00-21:00,云南省保山市昌宁县田园镇达丙社区皂角树（宝达路50号）,60,[],['满20减2;满40减4']
雅璇小吃,07:00-23:59,田园镇文昌路下段水果市场门口,400,[],['满10减2;满20减4;满40减8']
阿中的厨房（文昌街店）,10:00-20:00,文昌街37号,100,[],['满20减2;满30减3;满40减4']
阿竹米线店,08:00-23:30,田园镇达丙街14号,100,['11'],['满20减4;满30减6']
好粥道(辉记),07:00-19:30,田园镇兴宁街东侧11号,1000,['14'],['满20减2;满40减5']
芒市傣味大洋芋烧烤,07:00-23:59,田园镇福慧小区（永兴加油站正对面）,500,[],"['满20减10;满40减20', '折扣商品9折起']"
禄锦小吃,07:00-23:59,田园镇宝丰北路东侧,200,['23'],['折扣商品8.8折起']
慕茶,10:00-22:00,云南省保山市昌宁县田园镇右甸北路（三江超市旁）,500,['14'],['满10减1;满20减3;满30减5;满40减10']
张秀梅烤肉拌饭（昌宁店）,10:00-23:59,田园镇文昌街69号,100,[],"['满20减10;满40减20', '折扣商品5折起']"
街角小吃,07:00-21:00,田园镇达丙社区居民委员会达丙街,2,[],['满20减10;满40减20']
明生农家乐,08:30-20:00,田园镇右文社区村委会小寨村民小组（不见不散ktv旁）,8,[],[]
双鑫烧烤,07:20-23:59,田园镇农贸市场,100,[],[]
正宗包浆豆腐,10:00-22:00,田园镇清真街,200,[],[]
卿百味,07:00-23:59,保山市昌宁县田园镇朝阳小区G3幢9号,100,[],['满20减8;满40减20']
孙老五家鸡肉猪血卤肉米线店,08:00-22:00,田园镇文昌路北侧,200,[],"['满20减8;满40减16', '折扣商品9折起']"
缘味傣家,08:00-20:00,福惠路15号,19,[],[]
木易花式铁板烧,10:00-23:59,保山市昌宁县田园镇福惠路与右甸东路交叉口,11,[],[]
福涵记杂酱牛肉米线,07:30-18:30,保山市昌宁县田园镇达丙社区居民委员会福惠路北段东侧27幢104,200,[],['满20减5;满40减10']
李记小厨房,10:00-23:59,田园镇文昌社区居民委员会富德广场2栋106号,1000,[],"['满40减12', '折扣商品7.5折起']"
老四东北特色烧烤（水饺炒面）,11:00-23:59,田园镇文昌社区居民委员会兴宁街北段东侧（紫檀水岸东南门）,300,['22'],"['满30减2;满55减3', '折扣商品8.9折起']"
卡焙面包空间（兴宁店）,08:00-22:30,云南省保山市昌宁县田园镇兴宁街西侧148号（韩国纸上烧烤旁）,300,['29'],['满30减7;满40减14']
吉昌重庆摊摊面（滨河店）,07:30-20:30,滨河盛景121号,200,['13'],[]
唯尔客,10:00-23:00,保山市昌宁县田园镇文昌社区居民委员会环城北路与兴宁街交汇处（富德广场5栋5022）,400,[],"['满20减2;满40减4', '折扣商品8.5折起']"
胖小鲜砂锅麻辣烫,07:00-23:59,保山市昌宁县田园镇宝丰社区居民委员会红谷小区19号（南园大门正对面）,100,[],['满20减6;满40减12']
乌泷（阳光小区店）,10:00-22:00,保山市昌宁县田园镇文昌社区居民委员会滨河西路19号枫景苑7幢701室,200,['14'],"['满30减20', '折扣商品9折起']"
鸿记煌三汁焖锅,07:00-23:59,滨河路滨河盛景步行街9-1号,0,[],['满20减6;满60减14']
雪梅冷饮店,10:00-20:00,兴宁街与新园路交叉口西北50米,47,['10'],['折扣商品9折起']
四方街超市,08:00-22:00,新城路西侧2号三楼,500,[],[]
左岸（特色炒菜）,09:00-23:59,田园镇兴宁街北段红房子旁,100,[],['满50减2;满100减4']
饿要吃小吃店,07:00-22:00,田园镇文昌路上段,1000,['15'],['满20减1;满30减2;满40减3']
故里,11:30-22:00,田园镇隆祥花园商铺15幢15-18,100,['29'],[]
继红食品经营部,08:06-23:59,右甸北路29附近,400,[],[]
小刀傣味园,08:00-23:00,右文小寨,27,[],[]
尚品包子,08:00-20:30,田园镇宝丰路,400,[],[]
燕林特色烤鱼,17:00-23:59,田园镇宝达路南侧、滨河西路西侧（山水田苑壹期四栋29号）,0,[],[]
雅安张记木桶鱼(昌宁店）,09:00-23:59,田园镇关庙社区居民委员会右甸东路46号,35,[],['折扣商品8.59折起']
传统宜良脆皮烤鸭,10:00-22:00,田园镇右甸北路60号,100,[],"['满20减7;满40减14', '折扣商品7折起']"
尊皇饮品（烤奶烧仙草）,09:30-23:59,田园镇文昌社区居民委员会宝丰路东侧、环城北路北侧（三中对面）,100,['9'],"['满20减10;满30减20', '折扣商品8折起']"
十字路牛肉食馆（烧烤）,08:00-23:59,龙井社区十字路,0,[],['满20减2']
绍明小吃店,10:30-18:30,保山市昌宁县田园镇关庙社区居民委员会滨河西路12号（烟草小区门口）,22,[],['满20减2;满40减5']
阿凡提回味小吃,07:30-20:30,云南省保山市昌宁县田园镇文昌街南侧,97,[],['折扣商品9.77折起']
糖糖冷饮店,10:00-22:00,兴宁街与清真街交叉口东南50米,100,['14'],[]
白云涮菜,07:00-23:59,田园镇步行街南侧,500,['22'],['满20减2;满30减3;满40减4']
大维饮品,10:00-22:30,云南省保山市昌宁县田园镇右甸南路,900,['10'],"['满25减8;满60减18', '折扣商品7折起']"
小老弟烧烤,10:30-23:59,保山市昌宁县田园镇文昌社区居民委员会福惠路西侧、环城北路南侧,37,[],[]
桃林烤鱼（文昌街店）,07:00-23:59,保山市昌宁县田园镇文昌社区居民委员会文昌路,15,[],[]
腾冲正宗傣味撒撇,07:40-23:00,田园镇文昌社区居民委员会文昌街,100,[],['满20减6;满40减12']
果麦饮品,10:00-22:30,云南省保山市昌宁县兴振购物广场一层第1-06号,1000,['7'],['满25减8;满60减18']
腾龙小吃,09:00-23:59,田园镇富德广场4-1071,21,[],['满20减10;满40减20']
江表大理风味食馆,10:00-22:00,228省道西50米,0,[],[]
八米凤味,10:00-23:00,保山市昌宁县田园镇文昌社区居民委员会文昌街107号,23,[],[]
老姜火瓢牛肉,09:00-20:00,田园镇宝丰社区烤烟房居民小组8号金红酒店旁,26,[],[]
天香一品楼,09:00-20:30,田园镇达丙社区居民委员会环城北路（茶艺坊第3幢3-1-02号房）,94,[],['满20减6;满40减12']
胖妹烧烤,07:00-23:59,云南省保山市昌宁县田园镇清真街,87,[],['满20减4;满30减6']
羊肉馆,07:00-21:00,田园镇环城西路西侧（城南市场第1幢3号）,26,[],['满25减6;满50减12']
云溪过桥米线,07:00-22:00,保山市昌宁县田园镇宝丰社区居民委员会鸿安人家19幢4单元,62,[],['满20减6;满40减12']
金沙茗阁老字号活螃蟹,10:00-23:59,滨河路14-5,18,[],['满20减10;满40减20']
佳圆小吃（大理鱼庄）,08:00-22:00,右甸北路,100,[],['折扣商品9.78折起']
酸萝卜乌江鱼火锅,10:00-22:00,田园镇宝达路,1,[],['满20减12;满40减24']
黑鸭,10:30-23:00,文昌街18号,100,['33'],[]
私家厨房小吃,07:30-21:00,云南省保山市昌宁县田园镇达丙街31号,97,[],[]
啊住烧烤,15:00-23:59,武华路附近,100,[],['满50减5;满100减10;满200减20']
金福小吃,08:00-19:00,田园镇宝丰路客运站门口,0,[],[]
天津狗不理灌汤包（仁德医院店）,07:00-23:59,田园镇新城路西侧,0,[],['满20减2;满40减4']
悠悠时光,11:00-23:59,保山市昌宁县田园镇文昌社区居民委员会张家沟居民小组142号（思源学校旁）,100,['6'],[]
金花小吃,07:00-22:00,达丙街15号（农贸市场斜对面）,29,[],['满20减2;满30减3']
新时沏（保山昌宁店）,09:30-23:47,云南省保山市昌宁县田园镇龙井社区居民委员会右甸北路,200,['14'],['满25减2;满45减5']
尚尚签(铁板烤串，花甲粉),07:00-23:59,保山市昌宁县田园镇文昌社区居民委员会环城北路与兴宁街交汇处101-0B-05-165-01,28,[],['满20减4;满40减8']
吟茶,11:00-22:00,保山市昌宁县田园镇文昌社区居民委员会文昌街北面（原广播电视局第7间）（天和医院往下50米）,47,[],['满25减15;满40减30']
川百香小吃,07:00-22:00,保山市昌宁县田园镇关庙社区居民委员会武华路36号,92,[],['满25减4;满40减8']
七杯茶（原昌一中店）,10:00-21:30,云南省保山市昌宁县田园镇文昌街上段,200,['9'],"['满10减1;满20减2', '折扣商品9折起']"
牛肉小吃,07:00-18:00,武华路92号附近,6,[],[]
奶优工坊,11:30-23:30,隆祥花园25号,93,['17'],['满30减5;满40减8']
川渝面馆,08:00-20:00,云南省保山市昌宁县田园镇达丙街（红路灯旁80米）,80,[],['满20减1;满30减2;满50减5']
名品熟食店,08:00-21:00,保山市昌宁县田园镇关庙社区居民委员会南门河头（第二幢第二间）（财政所斜对面）,4,[],['折扣商品9折起']
文瑞小吃店,08:00-20:00,田园镇环城北路（云舒局1栋6号）红房子购物中心北侧福鑫太阳能专卖店旁,41,[],[]
二恒小吃馆,07:00-21:00,保山市昌宁县田园镇关庙社区居民委员会武华路96号（邮政家属住宅小区旁）,2,[],[]
随缘小吃,08:00-23:59,云南省保山市昌宁县田园镇达丙街150号,300,['14'],['满20减3;满40减6']
忙怀食馆,08:00-23:59,田园镇清真街角,5,[],['满20减10;满40减20']
灵动乐源,07:00-23:59,云南省保山市昌宁县田园镇环城北路（云舒居安置区45号）,300,[],"['满20减10;满40减20', '折扣商品3折起']"
金尝客（四方街二楼）,09:00-21:00,兴振百货2楼小吃区2-38号,24,[],[]
延记烤吧,14:00-23:58,保山市昌宁县田园镇隆祥花园9-6,12,[],['满30减5;满50减10']
阿乔绿康,08:00-20:00,城南农贸市场,6,[],[]
精英副食经营部,08:00-23:59,田园镇新园路,100,[],['满20减3;满40减6']
狗不理包子,07:00-18:00,达丙街店,100,[],['满20减2;满30减3']
老兵农庄,11:00-20:00,云南省保山市昌宁县田园镇关庙社区长青居民小组（清灵寺东侧）,5,[],[]
回味轩,07:30-20:00,中医院门口,32,[],['满20减5']
彤晨风味小吃店,08:00-21:00,田园镇宝达路南侧,4,[],[]
福园便利店,08:00-21:00,田园镇达丙街,53,[],['满20减2;满50减4']
滇西一品羊,08:00-21:00,田园镇环城北路与DF交叉口北侧,8,[],['满30减5;满60减10']
我是米妮玉米汁,07:00-18:00,文昌街5号,16,['9'],[]
江南小笼包,07:00-23:00,田园镇文昌街下段（天和医院）,12,[],['满40减1']
小鱼家,08:30-19:00,田园镇龙祥花园,55,[],[]
玉膳坊,08:00-21:00,田园镇环城北路茶艺坊2-1-01号,4,[],['满20减4']
天津灌汤包,08:00-21:00,右甸南路天天超市旁边,40,[],['满20减2;满30减3;满40减4']
赶路小吃,08:00-22:00,客运站门口,18,[],['折扣商品9折起']
多多便利店,07:30-23:59,田园镇文昌社区居民委员会环城北路北侧（长江村镇银行斜对面200米）,500,[],[]
OUOU便利店,07:30-23:30,田园镇福慧路西侧.环城北路南侧（隆祥花园）,63,[],[]
雪萍风味小吃店,10:00-23:58,保山市昌宁县田园镇宝丰社区居民委员会宝丰南路(客运站南站临街铺面),0,[],['满20减4;满30减5']
禹家中餐馆,08:00-20:00,田园镇达丙社区居民委员会达丙街西侧（茶艺坊17－8号）,16,[],['满20减4;满40减8']
狗不理包子（三中店）,08:00-18:00,田园镇环北路南侧1号,19,[],[]
常来常往小吃店,08:00-21:00,保山市昌宁县田园镇锦绣铂城H一4一I一5,23,[],[]
重庆崽儿火锅（烧烤）,10:30-20:30,田园镇达丙社区居民委员会DF路西侧环城北路南侧福满楼饭店旁,1,[],['满30减3;满50减5;满100减10']
驴味饭庄,07:00-21:00,昌漭公路西侧,1,[],['满20减4;满50减10']
砚墨时光,11:30-23:59,文昌街隆祥花园美食街5-03号,22,['18'],['满30减5;满60减10']
云山云峰便利店,08:30-22:30,云南省保山市昌宁县田园镇文昌社区城坡张家沟（思源学校对面）,34,[],[]
玉溪抚仙湖生态石锅鱼（盖饭炒饭）,09:00-21:00,云南省保山市昌宁县田园镇兴宁街北段211号,26,[],['折扣商品5.9折起']
雪月花蛋糕,09:00-22:00,田园镇右甸街,52,['44'],[]
溢香园小吃,08:30-20:30,中医院院内3-4号,26,[],[]
天津灌汤包（达丙店）,07:00-20:30,云南省保山市昌宁县田园镇达丙街,75,[],['满20减1;满40减3;满50减5']
卡焙面包空间（五华店）,08:00-22:00,田园镇五华路南侧点点母婴生活馆旁,57,['30'],['满20减2;满50减8']
臻好时冻酸奶,20:00-22:30,田园镇富德广场5栋5016号,19,['9'],['满20减2']
星悦蛋糕中西饼屋,08:00-21:00,城北加油站旁仁德医院对面,37,['26'],['满20减10']
卡焙（冷饮）,08:00-22:00,云南省保山市昌宁县田园镇兴宁街147号,28,['12'],['满20减7;满40减14']
1314一杯会说话的茶,10:00-22:00,田园镇新城路与环城北路十字路交叉口（田园镇便民服务中心一楼）,100,['9'],"['满20减10;满40减20', '折扣商品3.5折起']"
亦品尚饮,10:00-21:00,保山市昌宁县田园镇关庙社区居民委员会清真街30号,11,['9'],[]
浪漫雪,10:00-21:00,保山市昌宁县田园镇文昌社区居民委员会文昌街121号,82,[],"['满20减5;满40减10', '折扣商品7.5折起']"
月月红花店,08:00-22:00,田园镇宝丰路5号,9,[],['满50减15;满100减20']
林兴花艺婚庆,08:00-21:30,云南省保山市昌宁县田园镇前进路北侧（小铺子坡）,22,[],['满50减10;满100减20']
花芊谷,09:00-22:00,云南省保山市昌宁县田园镇文昌社区张家沟居民小组 阳光怡景,3,[],['满50减15;满100减30;满200减40']
卡焙面包空间（南门河店）,08:00-22:00,右甸南路与新村路交叉口（南门河头）,84,['21'],[]
一叶红花苑,08:00-22:30,文昌街32附近,8,[],['满100减30']
钰彩花卉,08:31-22:00,田园镇达丙小铺子破中段,4,[],[]
情艺花卉,08:00-23:55,兴宁街与文昌街交叉口西50米,30,[],['满150减25;满200减30;满300减35']
一心堂（昌宁右甸南路店）,08:30-21:45,云南省保山市昌宁县田园镇右甸南路,100,[],"['满49减10;满69减15;满99减20', '折扣商品6.51折起']"
昭通特色小肉串,19:30-23:59,田园镇达丙街,200,[],['满30减2;满60减8']
八点半烧烤,19:20-23:59,右甸东路,600,['26'],"['满38减2;满48减3;满88减5', '折扣商品9.8折起']"
疯狂小肉串,19:30-23:59,田园镇滨河阳光怡景小区,6,[],[]
烤第一,19:00-23:59,田园镇达丙社区居民委员会福惠路福惠华庭,45,[],[]
卡焙面包空间（达丙店）,08:00-22:00,田园镇达丙街东侧,24,['36'],['满20减2;满50减8']
一心堂（昌宁右甸西路店）,10:00-21:00,云南省保山市昌宁县田园镇右甸西路13-15号,19,[],"['满49减10;满69减15;满99减20', '折扣商品6.53折起']"
深夜食堂,18:00-23:59,田园镇隆祥花园14-4号,34,[],[]
三馆鸡脚（水果捞),09:30-20:30,田园镇文昌社区居民委员会文昌路北侧（鸿记煌三汁焖锅旁）,13,[],['满20减1']
聚鑫饭店,08:00-23:59,田园镇右甸东路25号,10,[],['满20减6;满40减12']
小黑家,11:00-23:59,清真街16号,800,['20'],"['满35减14', '折扣商品9折起', '实际支付36元返2元商家代金券']"
聚轩烧烤,12:30-23:59,田园镇环城西路南段（帝豪酒店旁）,34,[],[]
回味斋清真饭馆,18:00-23:59,云南省保山市昌宁县田园镇兴宁街（丽棵树对面）,32,[],[]
春益小吃,11:16-22:00,右甸北路49（天和医院以北50米）,100,[],['满25减4;满60减5']
双秀小吃,07:00-17:30,田园镇达丙街,100,[],[]
串大仙,17:30-23:59,保山市昌宁县田园镇宝丰社区居民委员会环城西路西侧（南小区农贸市场）,100,[],['满20减10;满40减20']
京炭坊北京烤鸭,09:30-20:28,田园镇关庙社区居民委员会右甸南路68号,45,['51'],[]
心火燎原,20:00-23:59,保山市昌宁县田园镇达丙社区居民委员会福惠华庭27幢103,31,[],['满30减5;满60减10']
思味烧烤,20:00-23:59,田园镇宝丰社区居民委员会南园7幢一单元商104室（红谷小区对面）,1,[],['满30减3;满60减6']
腾冲傣味撒撇,10:00-21:00,清真街5号,25,[],[]
羲羲家,07:00-21:00,田园镇关庙社区居民委员会宝丰路东侧（南门河）,100,[],['满20减10;满40减20']
景成小吃店,07:00-23:00,田园镇文昌社区居民委员会新城路东侧、环城北路北侧（三中对面）,3,[],"['满20减2;满30减3;满40减4', '折扣商品9折起']"
